# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 149 stories read; 15454 spellings.
bounce down	1	
bounce from	1	
bounce in	1	
bounce off	2	
bounce on	1	
bounce out	1	bounce out
bounce over	1	
bounce throug	1	
bounce up	2	
bounce with	6	
bound	7	bound
bound across	3	
bound at	1	
bound down	5	
bound from	7	
bound in	7	
bound off	7	bound off
bound on	5	
bound out	6	
bound over	7	
bound through	6	
bound to	5	
bound up	5	
bounties	1	
bow	15	bow
bow at	2	
bow before	9	
bow for	2	
bow low	1	
bow to	13	
boxize	1	
brace	1	brace
brace with	1	
braise	1	braise
brake	2	brake
bramble	2	
brambles	2	
brand	1	brand
brand with	1	
brandi	11	
brandi at	11	
brandi near	1	
brandi over	1	
brandi to	4	
brandish	4	brandish
brandish at	2	
brandish near	1	
brandish off	1	
brandish over	1	
brandish to	1	
bre	7	
brea	30	
break	100	break
break against	1	
break buckle	1	
break by	1	
break collar	1	
break down	45	break down
break in	13	break in
break into	2	break into
break laughter	1	
break off	12	break off
break on	1	
break out	6	break out
break over	2	
break the	1	
break throug	2	
break through	9	break through
break up	1	break up
break using	2	
break with	64	break with
breat	1	
breath	3	
breath from	1	
breath hard	1	
breath in	1	
breathe	17	breathe
breathe at	1	
breathe hard	1	
breathe in	5	breathe in
breathe into	3	
breathe on	4	
breathe out	4	breathe out
breathe up	1	
brew	1	brew
bribe	12	bribe
bribe to	3	
bribe using	1	
bribe with	10	
bridge	1	bridge
bridge with	1	
brief	96	brief
brief topics	1	
bring	12	bring
bring back	2	bring back
bring beside	1	
bring breath	1	
bring by	1	
bring cellar	1	
bring close	1	
bring clothes	1	
bring down	1	bring down
bring for	4	
bring from	3	
bring inventory	3	
bring matches	1	
bring my	1	
bring nap	1	
bring near	1	
bring nearby	1	
bring next	1	
bring off	3	bring off
bring over	1	
bring shelter	1	
bring to	7	bring to
bring up	2	bring up
bring with	1	
broadcast	1	broadcast
broken glasses	1	
brother	1	
brothers	1	
browse	14	browse
browse about	1	
browse between	1	
browse in	1	
browse throug	3	
browse through	8	
browse to	5	
browse with	7	
brush	21	brush
brush hair	1	
brush in	1	
brush into	1	
brush off	10	brush off
brush on	4	brush on
brush onto	1	
brush over	4	
brush teeth	1	
brush up	3	brush up
brush with	15	
buckle	3	buckle
buckle to	2	
buckle together	1	
buckle up	1	
buckle with	1	
budge	1	budge
budge around	1	
budge away	1	
budge back	1	
budge off	1	
budge to	1	
bug	7	bug
bugg	4	
bugger	1	bugger
bui	3	
buil	10	
build	5	build
build from	2	
build in	1	build in
build over	1	
build up	1	build up
buk	1	
buk bawk	1	
bullshit	1	bullshit
bun	1	
buns	1	
bur	5	bur
burn	98	burn
burn at	4	
burn down	19	burn down
burn fire	3	
burn from	1	
burn in	2	
burn on	4	
burn up	9	burn up
burn using	2	
burn with	46	
burp	5	burp
burrow	1	burrow
burrow under	1	
burst	5	burst
burst into	2	
burst laughter	1	
burst tears	1	
burst with	3	
bury	11	bury
bury in	8	
bury under	1	
bus	1	bus
bust	2	bust
bust open	1	
bust through	1	
bust with	1	
butchered	1	
butchered carcass	1	
butchered pig	1	
butterfly	1	butterfly
butts	1	
buy	81	buy
buy for	1	
buy from	17	
buy in	1	buy in
buy with	17	
bye	21	
bye to	1	
byebye	1	
byebye to	1	
cackle	4	cackle
cackle at	2	
cal	3	
call	46	call
call at	1	call at
call bonnie	1	
call bonstance	1	
call by	1	
call corvallis	1	
call finch	1	
call for	7	call for
call in	1	call in
call noodleman	1	
call on	11	call on
call out	9	call out
call renee	1	
call sis	1	
